      Step     Time          Energy          fmax
BFGS:    0 11:03:35       -0.581905        1.445070
BFGS:    1 11:03:35       -1.211078        1.385178
BFGS:    2 11:03:35       -6.531850        0.983342
BFGS:    3 11:03:36      -10.194147        0.924738
BFGS:    4 11:03:37      -11.850648        2.055239
BFGS:    5 11:03:37      -12.031676        1.838446
BFGS:    6 11:03:38      -12.687580        1.124076
BFGS:    7 11:03:39      -13.626670        0.881552
BFGS:    8 11:03:39      -15.355724        1.179332
BFGS:    9 11:03:40      -16.640728        1.327936
BFGS:   10 11:03:40      -17.098081        1.244859
BFGS:   11 11:03:41      -17.205595        1.134889
BFGS:   12 11:03:42      -17.463037        1.042344
BFGS:   13 11:03:42      -18.216568        1.085957
BFGS:   14 11:03:43      -19.263878        0.980157
BFGS:   15 11:03:44      -20.136395        0.858603
BFGS:   16 11:03:44      -20.144140        0.889176
BFGS:   17 11:03:45      -20.083069        0.889004
BFGS:   18 11:03:46      -20.251190        0.877089
BFGS:   19 11:03:47      -20.884859        0.860131
BFGS:   20 11:03:47      -21.299981        0.882615
BFGS:   21 11:03:48      -21.279292        0.864193
BFGS:   22 11:03:49      -21.245823        0.843322
BFGS:   23 11:03:50      -21.330123        0.849151
BFGS:   24 11:03:50      -21.436045        0.852762
BFGS:   25 11:03:51      -21.453858        0.845514
BFGS:   26 11:03:52      -21.483108        0.784340
BFGS:   27 11:03:53      -21.531336        0.783889
BFGS:   28 11:03:53      -21.724065        0.775550
BFGS:   29 11:03:54      -21.937185        0.767167
BFGS:   30 11:03:55      -22.309168        0.749922
BFGS:   31 11:03:55      -22.462446        0.729177
BFGS:   32 11:03:56      -22.464592        0.743247
BFGS:   33 11:03:57      -22.422111        0.765505
BFGS:   34 11:03:58      -22.408255        0.789112
BFGS:   35 11:03:58      -22.416753        0.797666
BFGS:   36 11:03:59      -22.555459        0.799567
BFGS:   37 11:04:00      -22.585135        0.786091
BFGS:   38 11:04:01      -22.727771        0.764781
BFGS:   39 11:04:01      -22.841906        0.799521
BFGS:   40 11:04:02      -22.872080        0.830016
BFGS:   41 11:04:03      -22.875971        0.817483
BFGS:   42 11:04:04      -22.893200        0.799162
BFGS:   43 11:04:04      -22.953611        0.780670
BFGS:   44 11:04:05      -22.999991        0.769666
BFGS:   45 11:04:06      -22.998860        0.773356
BFGS:   46 11:04:07      -23.029075        0.783557
BFGS:   47 11:04:08      -23.078695        0.779365
BFGS:   48 11:04:08      -23.091766        0.768430
BFGS:   49 11:04:09      -23.090666        0.774735
BFGS:   50 11:04:10      -23.082067        0.772924
BFGS:   51 11:04:11      -22.987975        0.770548
BFGS:   52 11:04:12      -21.460784        0.755169
BFGS:   53 11:04:12      -21.583219        0.748874
BFGS:   54 11:04:13      -20.777290        0.773438
BFGS:   55 11:04:13      -20.333941        0.814786
BFGS:   56 11:04:14      -19.972776        0.864069
BFGS:   57 11:04:14      -19.919000        0.902374
BFGS:   58 11:04:15      -20.070546        0.931618
BFGS:   59 11:04:15      -20.176457        0.965906
BFGS:   60 11:04:16      -20.161439        1.013136
BFGS:   61 11:04:17      -20.055376        1.071704
BFGS:   62 11:04:17      -19.911657        1.132575
BFGS:   63 11:04:18      -19.762509        1.189064
BFGS:   64 11:04:19      -19.617270        1.239348
BFGS:   65 11:04:19      -19.484340        1.281947
BFGS:   66 11:04:20      -19.364344        1.317506
BFGS:   67 11:04:21      -19.250965        1.348365
BFGS:   68 11:04:21      -19.142432        1.375628
BFGS:   69 11:04:22      -19.039034        1.399765
BFGS:   70 11:04:23      -18.940338        1.421268
BFGS:   71 11:04:23      -18.845863        1.440543
BFGS:   72 11:04:24      -18.755322        1.457891
BFGS:   73 11:04:25      -18.668024        1.507832
BFGS:   74 11:04:25      -18.583701        1.585742
BFGS:   75 11:04:26      -18.502129        1.662428
BFGS:   76 11:04:27      -18.422989        1.738003
BFGS:   77 11:04:28      -18.345980        1.812599
BFGS:   78 11:04:28      -18.270693        1.886474
BFGS:   79 11:04:29      -18.197057        1.959598
BFGS:   80 11:04:30      -18.124880        2.032065
BFGS:   81 11:04:30      -18.053988        2.103960
BFGS:   82 11:04:31      -17.984239        2.175362
BFGS:   83 11:04:32      -17.915503        2.246338
BFGS:   84 11:04:32      -17.847664        2.316953
BFGS:   85 11:04:33      -17.780614        2.387266
BFGS:   86 11:04:34      -17.714259        2.457334
BFGS:   87 11:04:34      -17.648982        2.526742
BFGS:   88 11:04:35      -17.584280        2.595915
BFGS:   89 11:04:36      -17.519946        2.665078
BFGS:   90 11:04:36      -17.455779        2.734431
BFGS:   91 11:04:37      -17.391669        2.804066
BFGS:   92 11:04:38      -17.327833        2.873737
BFGS:   93 11:04:39      -17.264194        2.943517
BFGS:   94 11:04:39      -17.200750        3.013396
BFGS:   95 11:04:40      -17.137472        3.083386
BFGS:   96 11:04:41      -17.074314        3.153515
BFGS:   97 11:04:41      -17.011240        3.223811
BFGS:   98 11:04:42      -16.948222        3.294296
BFGS:   99 11:04:43      -16.885200        3.364999
BFGS:  100 11:04:43      -16.822053        3.436054
