Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000            9.226        5.526        3.700   298.2
0.0010            9.143        5.388        3.755   302.6
0.0020            9.104        5.051        4.053   326.6
0.0030            9.085        4.540        4.545   366.2
0.0040            9.042        3.878        5.164   416.2
0.0050            9.001        3.069        5.932   478.0
0.0060            8.804        2.157        6.647   535.7
0.0070            8.708        1.169        7.539   607.5
0.0080            8.675        0.119        8.557   689.5
0.0090            8.517       -0.929        9.446   761.2
0.0100            8.348       -1.928       10.276   828.1
0.0110            8.145       -2.844       10.989   885.6
0.0120            8.137       -3.656       11.793   950.4
0.0130            7.748       -4.335       12.083   973.7
0.0140            7.511       -4.870       12.380   997.7
0.0150            7.307       -5.267       12.574  1013.3
0.0160            7.245       -5.556       12.801  1031.6
0.0170            7.129       -5.760       12.890  1038.7
0.0180            6.847       -5.905       12.752  1027.6
0.0190            6.775       -6.022       12.798  1031.3
0.0200            6.559       -6.131       12.691  1022.7
0.0210            6.288       -6.256       12.545  1010.9
0.0220            5.937       -6.391       12.328   993.5
0.0230            5.567       -6.550       12.118   976.5
0.0240            5.344       -6.706       12.050   971.1
0.0250            5.260       -6.887       12.148   978.9
0.0260            4.992       -7.104       12.096   974.8
0.0270            4.829       -7.351       12.180   981.5
0.0280            4.787       -7.618       12.405   999.7
0.0290            4.615       -7.919       12.534  1010.1
0.0300            4.448       -8.201       12.649  1019.3
0.0310            4.489       -8.479       12.967  1045.0
0.0320            4.414       -8.722       13.136  1058.6
0.0330            4.108       -8.919       13.026  1049.7
0.0340            3.836       -9.080       12.916  1040.9
0.0350            3.446       -9.197       12.643  1018.8
0.0360            3.225       -9.279       12.504  1007.7
0.0370            3.169       -9.337       12.507  1007.9
0.0380            2.866       -9.382       12.248   987.0
0.0390            2.645       -9.404       12.050   971.0
0.0400            2.393       -9.407       11.800   950.9
0.0410            2.159       -9.394       11.552   931.0
0.0420            2.068       -9.371       11.439   921.9
0.0430            1.689       -9.360       11.049   890.4
0.0440            1.516       -9.366       10.881   876.9
0.0450            1.345       -9.383       10.729   864.6
0.0460            1.264       -9.415       10.679   860.6
0.0470            1.083       -9.452       10.535   849.0
0.0480            1.092       -9.506       10.598   854.0
0.0490            1.159       -9.582       10.741   865.6
0.0500            0.995       -9.685       10.680   860.7
0.0510            0.782       -9.812       10.595   853.8
0.0520            0.628       -9.967       10.596   853.9
0.0530            0.453      -10.155       10.608   854.9
0.0540            0.313      -10.352       10.665   859.4
0.0550            0.005      -10.561       10.566   851.5
0.0560           -0.455      -10.753       10.298   829.9
0.0570           -0.573      -10.924       10.351   834.2
0.0580           -0.644      -11.064       10.420   839.7
0.0590           -0.662      -11.172       10.510   847.0
0.0600           -0.825      -11.246       10.421   839.8
0.0610           -0.781      -11.277       10.496   845.8
0.0620           -0.780      -11.278       10.498   846.0
0.0630           -0.981      -11.253       10.272   827.8
0.0640           -1.156      -11.200       10.043   809.4
0.0650           -1.218      -11.133        9.915   799.0
0.0660           -1.310      -11.080        9.769   787.3
0.0670           -1.367      -11.088        9.721   783.4
0.0680           -1.607      -11.099        9.492   764.9
0.0690           -1.738      -11.147        9.409   758.3
0.0700           -1.836      -11.231        9.395   757.1
0.0710           -1.838      -11.314        9.477   763.7
0.0720           -2.102      -11.412        9.310   750.2
0.0730           -2.437      -11.500        9.063   730.4
0.0740           -2.597      -11.607        9.010   726.1
0.0750           -2.674      -11.711        9.037   728.2
0.0760           -2.640      -11.811        9.171   739.1
0.0770           -2.808      -11.899        9.091   732.6
0.0780           -2.998      -11.962        8.965   722.4
0.0790           -3.058      -12.013        8.955   721.6
0.0800           -3.155      -12.035        8.880   715.6
0.0810           -3.312      -12.051        8.739   704.3
0.0820           -3.467      -12.052        8.584   691.8
0.0830           -3.455      -12.035        8.579   691.4
0.0840           -3.489      -12.018        8.529   687.3
0.0850           -3.613      -12.012        8.399   676.8
0.0860           -3.835      -12.018        8.183   659.4
0.0870           -4.089      -12.045        7.957   641.2
0.0880           -4.192      -12.111        7.919   638.2
0.0890           -4.173      -12.211        8.039   647.8
0.0900           -4.331      -12.356        8.025   646.7
0.0910           -4.357      -12.549        8.192   660.1
0.0920           -4.580      -12.780        8.200   660.8
0.0930           -4.724      -13.037        8.313   669.9
0.0940           -5.035      -13.297        8.262   665.8
0.0950           -5.244      -13.556        8.312   669.8
0.0960           -5.225      -13.809        8.584   691.7
0.0970           -5.215      -14.037        8.822   710.9
0.0980           -5.408      -14.238        8.830   711.6
0.0990           -5.597      -14.398        8.801   709.3
0.1000           -5.679      -14.518        8.839   712.3
0.1010           -5.945      -14.602        8.657   697.6
0.1020           -6.135      -14.631        8.497   684.7
0.1030           -6.134      -14.598        8.464   682.1
0.1040           -6.138      -14.536        8.398   676.8
0.1050           -6.227      -14.462        8.235   663.6
0.1060           -6.277      -14.392        8.116   654.0
0.1070           -6.384      -14.331        7.947   640.4
0.1080           -6.380      -14.276        7.896   636.3
0.1090           -6.426      -14.255        7.829   630.9
0.1100           -6.467      -14.269        7.802   628.8
0.1110           -6.573      -14.307        7.734   623.3
0.1120           -6.582      -14.390        7.808   629.2
0.1130           -6.860      -14.503        7.643   615.9
0.1140           -6.919      -14.645        7.726   622.6
0.1150           -7.016      -14.816        7.799   628.5
0.1160           -7.063      -14.998        7.935   639.4
0.1170           -7.099      -15.176        8.077   650.9
0.1180           -7.339      -15.369        8.030   647.1
0.1190           -7.388      -15.547        8.158   657.5
0.1200           -7.432      -15.711        8.279   667.2
0.1210           -7.371      -15.859        8.488   684.0
0.1220           -7.520      -15.950        8.430   679.3
0.1230           -7.523      -16.008        8.484   683.7
0.1240           -7.640      -16.045        8.405   677.3
0.1250           -7.758      -16.062        8.304   669.2
0.1260           -8.023      -16.048        8.025   646.7
0.1270           -8.038      -16.021        7.983   643.3
0.1280           -8.100      -15.980        7.880   635.0
0.1290           -8.162      -15.914        7.752   624.7
0.1300           -8.382      -15.829        7.447   600.1
0.1310           -8.471      -15.732        7.261   585.1
0.1320           -8.470      -15.642        7.172   578.0
0.1330           -8.534      -15.567        7.033   566.7
0.1340           -8.540      -15.525        6.985   562.9
0.1350           -8.567      -15.513        6.946   559.7
0.1360           -8.571      -15.503        6.933   558.7
0.1370           -8.674      -15.496        6.823   549.8
0.1380           -8.748      -15.490        6.742   543.3
0.1390           -8.835      -15.503        6.668   537.4
0.1400           -8.976      -15.514        6.538   526.9
0.1410           -9.125      -15.527        6.402   515.9
0.1420           -8.991      -15.552        6.561   528.7
0.1430           -8.990      -15.564        6.574   529.8
0.1440           -9.051      -15.580        6.530   526.2
0.1450           -9.047      -15.586        6.539   527.0
0.1460           -9.017      -15.587        6.570   529.5
0.1470           -9.097      -15.590        6.494   523.3
0.1480           -9.060      -15.600        6.539   527.0
0.1490           -9.243      -15.620        6.377   513.9
0.1500           -9.466      -15.645        6.180   498.0
0.1510           -9.379      -15.662        6.284   506.4
0.1520           -9.577      -15.684        6.107   492.2
0.1530           -9.699      -15.714        6.015   484.7
0.1540           -9.911      -15.758        5.847   471.2
0.1550          -10.026      -15.810        5.784   466.1
0.1560          -10.069      -15.864        5.796   467.1
0.1570          -10.308      -15.936        5.629   453.6
0.1580          -10.303      -16.034        5.731   461.8
0.1590          -10.367      -16.148        5.781   465.8
0.1600          -10.377      -16.266        5.889   474.6
0.1610          -10.453      -16.371        5.918   476.9
0.1620          -10.503      -16.476        5.973   481.3
0.1630          -10.491      -16.578        6.087   490.5
0.1640          -10.530      -16.670        6.141   494.9
0.1650          -10.631      -16.755        6.124   493.5
0.1660          -10.664      -16.823        6.159   496.3
0.1670          -10.608      -16.871        6.263   504.7
0.1680          -10.624      -16.910        6.286   506.6
0.1690          -10.704      -16.955        6.251   503.7
0.1700          -10.712      -16.988        6.277   505.8
0.1710          -10.756      -17.007        6.251   503.7
0.1720          -10.747      -17.016        6.268   505.1
0.1730          -10.681      -17.027        6.346   511.4
0.1740          -10.769      -17.045        6.276   505.8
0.1750          -10.810      -17.058        6.248   503.5
0.1760          -10.957      -17.065        6.107   492.2
0.1770          -11.138      -17.068        5.930   477.9
0.1780          -11.142      -17.099        5.957   480.1
0.1790          -11.279      -17.118        5.839   470.5
0.1800          -11.315      -17.142        5.828   469.6
0.1810          -11.261      -17.164        5.903   475.7
0.1820          -11.389      -17.163        5.774   465.3
0.1830          -11.449      -17.186        5.737   462.4
0.1840          -11.478      -17.208        5.730   461.8
0.1850          -11.604      -17.229        5.625   453.3
0.1860          -11.629      -17.224        5.595   450.9
0.1870          -11.613      -17.216        5.603   451.5
0.1880          -11.613      -17.214        5.601   451.4
0.1890          -11.726      -17.224        5.498   443.1
0.1900          -11.841      -17.220        5.379   433.4
0.1910          -11.845      -17.238        5.394   434.6
0.1920          -11.848      -17.260        5.412   436.1
0.1930          -11.884      -17.277        5.393   434.6
0.1940          -11.878      -17.309        5.431   437.7
0.1950          -11.927      -17.355        5.428   437.5
0.1960          -12.057      -17.391        5.334   429.8
0.1970          -12.094      -17.424        5.330   429.5
0.1980          -12.074      -17.473        5.398   435.0
0.1990          -12.218      -17.545        5.326   429.2
0.2000          -12.225      -17.617        5.392   434.5
0.2010          -12.241      -17.691        5.450   439.2
0.2020          -12.348      -17.773        5.425   437.2
0.2030          -12.295      -17.851        5.557   447.8
0.2040          -12.326      -17.927        5.602   451.4
0.2050          -12.494      -17.980        5.486   442.1
0.2060          -12.560      -18.028        5.468   440.7
0.2070          -12.475      -18.050        5.575   449.3
0.2080          -12.485      -18.054        5.569   448.8
0.2090          -12.472      -18.041        5.569   448.8
0.2100          -12.448      -18.016        5.568   448.7
0.2110          -12.482      -18.002        5.520   444.9
0.2120          -12.509      -17.974        5.465   440.4
0.2130          -12.485      -17.946        5.461   440.1
0.2140          -12.474      -17.911        5.437   438.2
0.2150          -12.661      -17.883        5.222   420.8
0.2160          -12.760      -17.860        5.100   411.0
0.2170          -12.750      -17.846        5.097   410.7
0.2180          -12.807      -17.811        5.004   403.3
0.2190          -12.703      -17.774        5.071   408.7
0.2200          -12.696      -17.748        5.052   407.1
0.2210          -12.641      -17.726        5.085   409.8
0.2220          -12.769      -17.698        4.929   397.2
0.2230          -12.733      -17.683        4.951   399.0
0.2240          -12.713      -17.668        4.955   399.3
0.2250          -12.753      -17.662        4.909   395.6
0.2260          -12.795      -17.688        4.893   394.3
0.2270          -12.729      -17.718        4.989   402.1
0.2280          -12.788      -17.749        4.960   399.7
0.2290          -12.789      -17.794        5.004   403.3
0.2300          -12.871      -17.852        4.981   401.4
0.2310          -12.869      -17.906        5.037   405.9
0.2320          -12.762      -17.971        5.209   419.8
0.2330          -12.709      -18.051        5.342   430.5
0.2340          -12.778      -18.125        5.347   430.9
0.2350          -12.845      -18.187        5.342   430.5
0.2360          -12.922      -18.245        5.323   428.9
0.2370          -13.016      -18.284        5.268   424.6
0.2380          -13.109      -18.313        5.204   419.4
0.2390          -13.180      -18.332        5.152   415.2
0.2400          -13.273      -18.364        5.092   410.3
0.2410          -13.239      -18.389        5.150   415.0
0.2420          -13.251      -18.403        5.151   415.1
0.2430          -13.188      -18.406        5.218   420.5
0.2440          -13.251      -18.424        5.173   416.8
0.2450          -13.333      -18.444        5.111   411.9
0.2460          -13.357      -18.456        5.099   411.0
0.2470          -13.268      -18.450        5.182   417.6
0.2480          -13.314      -18.439        5.124   413.0
